Installation ID,Installation Name,Installation Name (Clean),Company Name (MoE),Installation Address,First Verified Emissions Year,Last Verified Emissions Year,Main Activity Code,Main Activity Name
CZ-0017,Wienerberger - závod Holice,Závod Holice,"Wienerberger, s.r.o.","Holice v Čechách, 534 01",2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0140,ČESKOLIPSKÁ TEPLÁRENSKÁ - výtopna Holý Vrch,Výtopna Holý Vrch,,,2008,2019,20,Výroba elektřiny a tepla
CZ-0141,ČESKOLIPSKÁ TEPLÁRENSKÁ - Výtopna LOOS Stará Lípa,Výtopna LOOS Stará Lípa,,,2008,2022,20,Výroba elektřiny a tepla
CZ-0185,"JIP - Papírny Větřní, a.s.","Papírny Větřní, a.s.",,,2008,2025,1,Výroba elektřiny a tepla
CZ-0231,"ORLEN UNIPETROL RPA, s.r.o. - RAFINÉRIE, Litvínov","RAFINÉRIE, Litvínov","ORLEN UNIPETROL RPA, s.r.o.","Záluží 2, 436 70 Litvínov",2008,2025,21,Rafinace minerálních olejů
CZ-0233,"LAUFEN CZ s.r.o.,  provozovna Bechyně",Provozovna Bechyně,LAUFEN CZ s.r.o.,"Na Libuši 717, 391 65 Bechyně",2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0334,AGC Flat Glass Czech - závod Řetenice,Závod Řetenice,"AGC Flat Glass Czech a.s.,člen AGC Group","Sklářská 450, 415 03 Teplice",2008,2025,31,Sklo
CZ-0294,AGC Flat Glass Czech - závod Barevka,Závod Barevka,"AGC Flat Glass Czech a.s.,člen AGC Group","Mírová 249, 417 03 Dubí",2008,2025,31,Sklo
CZ-0285,Teplárna České Budějovice - Výtopna Vráto,Výtopna Vráto,"Teplárna České Budějovice, a.s.",,2008,2025,20,Výroba elektřiny a tepla
CZ-0019,Cihelna Kinský spol. s r.o,Cihelna Kinský,Cihelna Kinský spol. s r.o.,"Hálkova 1359, 517 41 Kostelec nad Orlicí",2008,2025,8,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0062,"Cihelny STAMP Miskolezy, s.r.o.",Cihelny STAMP Miskolezy,,,2008,2015,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0074,Wienerberger - Závod Stod,Závod Stod,Wienerberger s.r.o.,,2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0120,Wienerberger - Závod Blížejov,Závod Blížejov,,,2008,2023,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0122,TONDACH Česká republika s.r.o. - Závod Hranice,Závod Hranice,Wienerberger s.r.o.,,2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0123,Wienerberger - Závod Šlapanice,Závod Šlapanice,Wienerberger s.r.o.,,2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0132,SAINT-GOBAIN ADFORS CZ - Litomyšl,Litomyšl,SAINT-GOBAIN ADFORS CZ s.r.o.,"Litomyšl, Sokolovská 106, 570 21",2008,2025,31,Sklo
CZ-0147,Mondi Štětí - Energetika,Mondi Štětí - Energetika,Mondi Štětí a.s.,"Litoměřická 272, 413 01, Štětí",2008,2025,20,Výroba elektřiny a tepla
CZ-0175,"HASIT Šumavské vápenice a omítkárny, s.r.o.",HASIT Šumavské vápenice a omítkárny,"HASIT Šumavské vápenice a omítkárny, s.r.o.",341 01 Velké Hydčice,2008,2025,30,Cement a vápno
CZ-0178,Vápenka Vitošov s.r.o.,Vápenka Vitošov,VÁPENKA VITOŠOV s.r.o.,"Hrabová 54, 789 01 Zábřeh",2008,2025,30,Cement a vápno
CZ-0193,"Holcim (Česko), a.s. - Cementárna Čížkovice",Cementárna Čížkovice,"Holcim (Česko), a.s.","Čížkovice č.p. 27, 411 12",2008,2025,29,Cement a vápno
CZ-0218,"LB Cemix, s.r.o.","LB Cemix, s.r.o.","LB Cemix, s r.o.","Štramberk, číslo popisné 500, číslo katastru 764 116 Štramberk, na parcele č. 1482/93",2008,2025,30,Cement a vápno
CZ-0299,Seves Glass Block s.r.o.,Seves Glass Block,Seves Glass Block s.r.o.,"Bílinská 782/42, 419 14 Duchcov",2008,2025,31,Sklo
CZ-0340,Lenzing Biocel Paskov a.s.,Lenzing Biocel Paskov,,,2008,2025,35,Papír
