REGISTRY_CODE,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,INSTALLATION_NAME,IDENTIFIER_IN_REG,INSTALLATION_NAME_CLEAN,OPERATOR_NAME_CLEAN,OWNER_ASSIGNED,MAIN_ACTIVITY_TYPE_CODE,MAIN_ACTIVITY_TYPE_NAME,REAL_ACTIVITY,PERIOD_YEAR,VERIFIED_EMISSIONS,FREE_ALLOCATION (a+b+c),a_ALLOCATION,b_ALLOCATION_RESERVE,c_ALLOCATION_TRANSITIONAL
CZ,218,CZ-0327-05,Veolia Energie - Teplárna Krnov,Veolia Energie - Teplárna Krnov,Teplárna Krnov,Veolia Energie,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,11515,5368.0,5368,0,0
CZ,219,CZ-0321-05,Veolia Energie - Teplárna Olomouc,Veolia Energie - Teplárna Olomouc,Teplárna Olomouc,Veolia Energie,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,286761,24826.0,24826,0,0
CZ,220,CZ-0325-05,Veolia Energie - Teplárna Přerov,Veolia Energie - Teplárna Přerov,Teplárna Přerov,Veolia Energie,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,148107,10918.0,10918,0,0
CZ,221,CZ-0318-05,Veolia Energie - Teplárna Přívoz,Veolia Energie - Teplárna Přívoz,Teplárna Přívoz,Veolia Energie,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,141558,18010.0,18010,0,0
CZ,215,CZ-0329-05,Veolia Energie - Teplárna Československé armády,Veolia Energie - Teplárna Čs. armády,Teplárna Československé armády,Veolia Energie,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,146774,9407.0,9407,0,0
CZ,214,CZ-0322-05,Veolia Energie - Špičková výtopna Olomouc,Veolia Energie - Špičková výtopna Olomouc,Špičková výtopna Olomouc,Veolia Energie,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,23693,1134.0,1134,0,0
CZ,191,CZ-0316-05,Veolia Energie Kolín - Elektrárna Kolín,Veolia Energie Kolín - Elektrárna Kolín,Elektrárna Kolín,Veolia Energie Kolín,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,101612,6651.0,6651,0,0
CZ,57,CZ-0111-05,Veolia Energie Mariánské Lázně - výtopna Nádražní,Veolia Energie Mariánské Lázně,Výtopna Nádražní,Veolia Energie Mariánské Lázně,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,5514,3777.0,3777,0,0
CZ,86,CZ-0153-05,Veolia Energie Praha - Teplárna Veleslavín,Veolia Energie Praha - Teplárna Veleslavín,Teplárna Veleslavín,Veolia Energie Praha,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,31073,5761.0,5761,0,0
CZ,88,CZ-0155-05,Veolia Energie Praha - Výtopna Juliska,Veolia Energie Praha - Výtopna Juliska,Výtopna Juliska,Veolia Energie Praha,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,24268,4324.0,4324,0,0
CZ,54,CZ-0105-05,Veolia Průmyslové služby ČR - Důl ČSM - teplárna,Veolia Průmyslové služby ČR - Důl ČSM - teplárna,Důl ČSM – teplárna,Veolia Průmyslové služby ČR,Veolia Energie,20,Combustion of fuels,Ostatní odvětví,2021,52559,3531.0,3531,0,0
CZ,52,CZ-0102-05,"VÍTKOVICE STEEL, a.s. - Ocelárna I",VÍTKOVICE STEEL,Ocelárna I,VÍTKOVICE STEEL,Jindal,24,Production of pig iron or steel,Železo a ocel,2021,61118,48951.0,48951,0,0
CZ,203591,CZ-0462-13,"Válcovna kol, kovárna náprav BONATRANS GROUP a.s.",BONATRANS GROUP a.s.,"Válcovna kol, kovárna náprav",BONATRANS,GHH-BONATRANS,25,Production or processing of ferrous metals,Železo a ocel,2021,29085,27592.0,27592,0,0
