country,code,pop,gdp,gdp_ppp,ghg,electricity
Brazil,BRA,212559409.0,1444733258971.65,2989431809530.72,1293379.7170559103,640.30928
Brunei Darussalam,BRN,437483.0,12016056665.3473,27230509487.9956,13167.047009072116,4.06593333333333
Bulgaria,BGR,6927288.0,69105101089.5531,155059067536.81,58159.41900648403,38.0572435639998
Burkina Faso,BFA,20903278.0,17369059295.2226,45161773123.6821,29788.105819982356,1.9763
Burundi,BDI,11890781.0,3258187232.63159,8692912761.70075,6319.38079740985,0.448050666666666
Cabo Verde,CPV,555988.0,1703698676.69742,3360981311.2476,1151.856729493715,0.517
Cambodia,KHM,16718971.0,25291251427.3979,70083418637.8122,42450.246696194,9.16760666666666
Cameroon,CMR,26545864.0,39802147568.2174,94937287428.8807,38831.0119907283,8.73976666666666
Canada,CAN,38005238.0,1643407977068.93,1742791970811.29,752242.7881385254,593.624003
Cayman Islands,CYM,65720.0,5935769350.77403,4782361653.31389,543.7435499070415,0.695165
Central African Republic,CAF,4829764.0,2303078337.57431,4484868174.12315,10976.287731644425,0.151
Chad,TCD,16425859.0,10093118570.2918,24965866143.7954,71270.73805093532,0.231
Chile,CHL,19116209.0,252940023046.011,445876489959.116,120882.29552272134,78.415551
China,CHN,1402112000.0,14722730697890.1,23009776520440.6,13389075.90387836,7314.84
Colombia,COL,50882884.0,271346896626.418,683941926676.48,195614.7165032582,75.3198266666666
Comoros,COM,869595.0,1219690024.50287,2731135948.30769,825.5281612416806,0.117066666666666
Congo,COG,5518092.0,10884686142.6442,19032703265.4086,22245.19058850498,3.59171333333333
"Congo, The Democratic Republic of the",COD,89561404.0,49868970641.1062,96028643076.0293,49275.181767697955,11.2605866666666
Costa Rica,CRI,5094114.0,61520669890.4037,100248539777.261,15315.80528958805,11.1001993333333
Croatia,HRV,4047200.0,55966581780.1688,107109663247.414,25855.117737611265,18.6897029999999
Cuba,CUB,11326616.0,103131000000.0,,46702.50047791081,19.7657533333333
Cyprus,CYP,1207361.0,23804340376.9275,33667496747.128,8549.664298605592,4.90845363899999
Czechia,CZE,10698896.0,243530379896.813,409974608448.645,128246.53604250927,72.423118071
Côte d'Ivoire,CIV,26378275.0,61348579465.1017,136483847258.214,28765.298773151506,8.94037333333333
Denmark,DNK,5831404.0,355184024841.254,326198317924.94,48260.780119769406,35.551005469
Djibouti,DJI,988002.0,3384404260.07202,5415352401.40201,2345.00508140205,0.041
Dominica,DMA,71991.0,469870370.37037,712083998.019222,255.07469013385003,0.090178
Dominican Republic,DOM,10847904.0,78844702329.0785,184447052957.51,41032.232918178604,18.5152533333333
Ecuador,ECU,17643060.0,98808010000.0,182238673346.859,69461.71704264657,31.3236326666666
Egypt,EGY,102334403.0,363069245165.315,1223044247662.57,377315.2318878991,193.293650666666
El Salvador,SLV,6486201.0,24638720000.0,52256357821.7897,12073.536876971892,6.582318
Equatorial Guinea,GNQ,1402985.0,10021856754.4944,23861442452.0036,14695.98488402988,1.35313666666666
Eritrea,ERI,,,,6674.8186853189,0.51696
Estonia,EST,1331057.0,31029968591.2779,47436770208.4392,25277.075333180055,10.2195853379999
Eswatini,SWZ,1160164.0,3962493092.99308,9736928779.81714,3474.28288382514,1.668791
Ethiopia,ETH,114963583.0,107645054311.876,264051501935.811,158829.5998169803,12.852604
Faroe Islands,FRO,48865.0,3126293219.77989,,47.762096864195,0.3818
Fiji,FJI,896444.0,4376014755.57615,9858619125.6144,3269.5356101101743,1.06603066666666
Finland,FIN,5530719.0,271233883403.892,261386207050.708,75480.94918502189,87.6991288259999
France,FRA,67391582.0,2603004395901.95,2832172839297.31,438065.3677284696,507.997880999999
French Polynesia,PYF,280904.0,,,1083.5006931364467,0.602433333333333
Gabon,GAB,2225728.0,15593181270.9135,32050191205.4343,18195.78899365445,2.56332666666666
